Name	r_ratio	r	DtwNn1Time
ArticularyWordRecognition	0.01	2	1.233
AtrialFibrillation	0.01	7	0.027
BasicMotions	0.01	1	0.01
Cricket	0.01	12	3.049
ArticularyWordRecognition	0.1	15	4.743
DuckDuckGeese	0.01	3	7.214
Epilepsy	0.01	3	0.214
ERing	0.01	1	0.014
EthanolConcentration	0.01	18	32.474
FingerMovements	0.01	1	0.115
HandMovementDirection	0.01	4	0.513
Handwriting	0.01	2	0.795
Heartbeat	0.01	5	9.361
Libras	0.01	1	0.041
LSST	0.01	1	9.015
NATOPS	0.01	1	0.107
PenDigits	0.01	1	10.305
RacketSports	0.01	1	0.026
SelfRegulationSCP1	0.01	9	10.773
SelfRegulationSCP2	0.01	12	9.037
StandWalkJump	0.01	25	0.152
UWaveGestureLibrary	0.01	4	0.757
AtrialFibrillation	0.1	64	0.105
BasicMotions	0.1	10	0.021
Cricket	0.1	120	13.146
DuckDuckGeese	0.1	27	48.393
Epilepsy	0.1	21	1.125
ERing	0.1	7	0.07
EthanolConcentration	0.1	176	265.846
FingerMovements	0.1	5	0.435
HandMovementDirection	0.1	40	3.95
Handwriting	0.1	16	4.675
Heartbeat	0.1	41	65.191
Libras	0.1	5	0.143
LSST	0.1	4	31.287
NATOPS	0.1	6	0.397
PenDigits	0.1	1	11.859
RacketSports	0.1	3	0.054
SelfRegulationSCP1	0.1	90	86.337
SelfRegulationSCP2	0.1	116	67.318
StandWalkJump	0.1	250	1.411
UWaveGestureLibrary	0.1	32	4.932
ArticularyWordRecognition	0.2	29	4.902
AtrialFibrillation	0.2	128	0.198
BasicMotions	0.2	20	0.039
Cricket	0.2	240	28.77
DuckDuckGeese	0.2	54	96.113
Epilepsy	0.2	42	2.39
ERing	0.2	13	0.111
EthanolConcentration	0.2	351	521.316
ArticularyWordRecognition	0.02	3	0.777
AtrialFibrillation	0.02	13	0.023
BasicMotions	0.02	2	0.007
Cricket	0.02	24	2.989
DuckDuckGeese	0.02	6	11.705
Epilepsy	0.02	5	0.287
ERing	0.02	2	0.02
EthanolConcentration	0.02	36	55.722
FingerMovements	0.02	1	0.108
HandMovementDirection	0.02	8	0.724
Handwriting	0.02	4	1.09
Heartbeat	0.02	9	15.81
Libras	0.02	1	0.048
LSST	0.02	1	8.619
NATOPS	0.02	2	0.145
PenDigits	0.02	1	9.403
RacketSports	0.02	1	0.022
SelfRegulationSCP1	0.02	18	17.683
SelfRegulationSCP2	0.02	24	13.776
StandWalkJump	0.02	50	0.277
UWaveGestureLibrary	0.02	7	1.088
ArticularyWordRecognition	0.05	8	1.639
AtrialFibrillation	0.05	32	0.055
BasicMotions	0.05	5	0.012
Cricket	0.05	60	6.805
DuckDuckGeese	0.05	14	24.563
Epilepsy	0.05	11	0.543
ERing	0.05	4	0.032
EthanolConcentration	0.05	88	121.715
FingerMovements	0.05	3	0.228
HandMovementDirection	0.05	20	1.55
Handwriting	0.05	8	1.93
Heartbeat	0.05	21	30.314
Libras	0.05	3	0.07
LSST	0.05	2	11.04
NATOPS	0.05	3	0.186
PenDigits	0.05	1	8.777
RacketSports	0.05	2	0.03
SelfRegulationSCP1	0.05	45	39.3
SelfRegulationSCP2	0.05	58	30.523
StandWalkJump	0.05	125	0.669
UWaveGestureLibrary	0.05	16	2.414
