Name	r_ratio	r	EarlyStop	Method	PruneRate	Pruned	DtwCalls	DtwBaselineTime	PrepTime	LbTime	DtwTime	TotalTime	Speedup
ArticularyWordRecognition	0.01	2	1	MV	0.992594	81889	611	1.233	0.004	0.027	0.001	0.032	38.5312
ArticularyWordRecognition	0.01	2	1	P_MV	0.992691	81897	603	1.233	0.002	0.315	0.005	0.322	3.82919
ArticularyWordRecognition	0.01	2	1	WEB_MV	0.992655	81894	606	1.233	0.016	0.412	0.006	0.434	2.84101
ArticularyWordRecognition	0.01	2	1	MC1	0.985503	81304	1196	1.233	0	0.02	0.002	0.022	56.0455
ArticularyWordRecognition	0.01	2	1	MC2	0.989455	81630	870	1.233	0.002	0.058	0.002	0.062	19.8871
ArticularyWordRecognition	0.01	2	1	TI	0.992606	81890	610	1.233	0	4.417	0.001	4.418	0.279086
ArticularyWordRecognition	0.01	2	1	PC	0.992691	81897	603	1.233	0.701	0.433	0.006	1.14	1.08158
ArticularyWordRecognition	0.01	2	1	MC3	0.990182	81690	810	1.233	0.444	0.16	0.006	0.61	2.02131
ArticularyWordRecognition	0.01	2	1	MC3E	0.993818	81990	510	1.233	0.469	1.729	0.008	2.206	0.55893

AtrialFibrillation	0.01	7	1	MV	0.866667	195	30	0.027	0	0	0.001	0.001	27
AtrialFibrillation	0.01	7	1	P_MV	0.866667	195	30	0.027	0	0.004	0.001	0.005	5.4
AtrialFibrillation	0.01	7	1	WEB_MV	0.866667	195	30	0.027	0	0.005	0.001	0.006	4.5
AtrialFibrillation	0.01	7	1	MC1	0.866667	195	30	0.027	0	0.001	0	0.001	27
AtrialFibrillation	0.01	7	1	MC2	0.866667	195	30	0.027	0	0	0.002	0.002	13.5
AtrialFibrillation	0.01	7	1	TI	0.866667	195	30	0.027	0	0.25	0	0.25	0.108
AtrialFibrillation	0.01	7	1	PC	0.866667	195	30	0.027	0.184	0.005	0	0.189	0.142857
AtrialFibrillation	0.01	7	1	MC3	0.866667	195	30	0.027	0.248	0.007	0	0.255	0.105882
AtrialFibrillation	0.01	7	1	MC3E	0.866667	195	30	0.027	0.255	0.006	0.001	0.262	0.103053

BasicMotions	0.01	1	1	MV	0.941875	1507	93	0.01	0	0.002	0	0.002	5
BasicMotions	0.01	1	1	P_MV	0.94625	1514	86	0.01	0	0.016	0.001	0.017	0.588235
BasicMotions	0.01	1	1	WEB_MV	0.943125	1509	91	0.01	0.002	0.013	0	0.015	0.666667
BasicMotions	0.01	1	1	MC1	0.916875	1467	133	0.01	0	0.001	0	0.001	10
BasicMotions	0.01	1	1	MC2	0.928125	1485	115	0.01	0	0.002	0	0.002	5
BasicMotions	0.01	1	1	TI	0.944375	1511	89	0.01	0	0.048	0	0.048	0.208333
BasicMotions	0.01	1	1	PC	0.95125	1522	78	0.01	0.033	0.026	0	0.059	0.169492
BasicMotions	0.01	1	1	MC3	0.929375	1487	113	0.01	0.012	0.004	0	0.016	0.625
BasicMotions	0.01	1	1	MC3E	0.9675	1548	52	0.01	0.01	0.031	0	0.041	0.243902

Cricket	0.01	12	1	MV	0.981353	7631	145	3.049	0.006	0.005	0.018	0.029	105.138
Cricket	0.01	12	1	P_MV	0.981481	7632	144	3.049	0.009	0.142	0.021	0.172	17.7267
Cricket	0.01	12	1	WEB_MV	0.981353	7631	145	3.049	0.01	0.199	0.017	0.226	13.4912
Cricket	0.01	12	1	MC1	0.978266	7607	169	3.049	0.004	0.008	0.015	0.027	112.926
Cricket	0.01	12	1	MC2	0.980581	7625	151	3.049	0.004	0.017	0.02	0.041	74.3659
Cricket	0.01	12	1	TI	0.981481	7632	144	3.049	0	21.376	0.022	21.398	0.14249
Cricket	0.01	12	1	PC	0.981481	7632	144	3.049	5.608	0.535	0.019	6.162	0.494807
Cricket	0.01	12	1	MC3	0.981224	7630	146	3.049	4.365	0.134	0.023	4.522	0.674259
Cricket	0.01	12	1	MC3E	0.98341	7647	129	3.049	3.806	1.294	0.021	5.121	0.595392

DuckDuckGeese	0.01	3	1	MV	0.96	2400	100	7.214	0.354	0.228	0.14	0.722	9.99169
DuckDuckGeese	0.01	3	1	P_MV	0.96	2400	100	7.214	0.339	2.217	0.139	2.695	2.67681
DuckDuckGeese	0.01	3	1	WEB_MV	0.96	2400	100	7.214	0.778	1.714	0.147	2.639	2.73361
DuckDuckGeese	0.01	3	1	MC1	0.9532	2383	117	7.214	0.05	0.002	0.138	0.19	37.9684
DuckDuckGeese	0.01	3	1	MC2	0.9596	2399	101	7.214	0.047	0.003	0.129	0.179	40.3017
DuckDuckGeese	0.01	3	1	TI	0.96	2400	100	7.214	0	8.605	0.134	8.739	0.825495
DuckDuckGeese	0.01	3	1	PC	0.96	2400	100	7.214	33.109	7.669	0.13	40.908	0.176347
DuckDuckGeese	0.01	3	1	MC3	0.96	2400	100	7.214	0.179	0.012	0.142	0.333	21.6637
DuckDuckGeese	0.01	3	1	MC3E	0.98	2450	50	7.214	0.179	20.483	0.145	20.807	0.34671

Epilepsy	0.01	3	1	MV	0.982915	18583	323	0.214	0.002	0.017	0	0.019	11.2632
Epilepsy	0.01	3	1	P_MV	0.984873	18620	286	0.214	0.002	0.139	0.002	0.143	1.4965
Epilepsy	0.01	3	1	WEB_MV	0.984873	18620	286	0.214	0	0.141	0.006	0.147	1.45578
Epilepsy	0.01	3	1	MC1	0.958743	18126	780	0.214	0.001	0.011	0.001	0.013	16.4615
Epilepsy	0.01	3	1	MC2	0.978049	18491	415	0.214	0.003	0.026	0.003	0.032	6.6875
Epilepsy	0.01	3	1	TI	0.985401	18630	276	0.214	0	1.361	0	1.361	0.157237
